name Simple DTS
init {'Base7':1}
;
r0 {'prop':{'r0'}, 'position': (1.07, 2.37, 0.40)}
r216 r229 {'duration': 1, 'edge_weight': 1.414000}
r217 r144 {'duration': 1, 'edge_weight': 1.514000}
r217 r145 {'duration': 1, 'edge_weight': 1.100000}
r217 r146 {'duration': 1, 'edge_weight': 1.514000}
r217 r156 {'duration': 1, 'edge_weight': 1.650000}
r217 r157 {'duration': 1, 'edge_weight': 1.514000}
r217 r158 {'duration': 1, 'edge_weight': 1.650000}
r217 r216 {'duration': 1, 'edge_weight': 1.000000}
r217 r217 {'duration': 1, 'edge_weight': 0.500000}
r217 r218 {'duration': 1, 'edge_weight': 1.000000}
r217 r228 {'duration': 1, 'edge_weight': 1.414000}
r217 r229 {'duration': 1, 'edge_weight': 1.000000}
r217 r230 {'duration': 1, 'edge_weight': 1.414000}
r218 r145 {'duration': 1, 'edge_weight': 1.514000}
r218 r146 {'duration': 1, 'edge_weight': 1.100000}
r218 r147 {'duration': 1, 'edge_weight': 1.514000}
r218 r157 {'duration': 1, 'edge_weight': 1.650000}
r218 r158 {'duration': 1, 'edge_weight': 1.514000}
r218 r159 {'duration': 1, 'edge_weight': 1.650000}
r218 r217 {'duration': 1, 'edge_weight': 1.000000}
r218 r218 {'duration': 1, 'edge_weight': 0.500000}
r218 r219 {'duration': 1, 'edge_weight': 1.000000}
r218 r229 {'duration': 1, 'edge_weight': 1.414000}
r218 r230 {'duration': 1, 'edge_weight': 1.000000}
r218 r231 {'duration': 1, 'edge_weight': 1.414000}
r219 r146 {'duration': 1, 'edge_weight': 1.514000}
r219 r147 {'duration': 1, 'edge_weight': 1.100000}
r219 r148 {'duration': 1, 'edge_weight': 1.514000}
r219 r158 {'duration': 1, 'edge_weight': 1.650000}
r219 r159 {'duration': 1, 'edge_weight': 1.514000}
r219 r160 {'duration': 1, 'edge_weight': 1.650000}
r219 r218 {'duration': 1, 'edge_weight': 1.000000}
r219 r219 {'duration': 1, 'edge_weight': 0.500000}
r219 r220 {'duration': 1, 'edge_weight': 1.000000}
r219 r230 {'duration': 1, 'edge_weight': 1.414000}
r219 r231 {'duration': 1, 'edge_weight': 1.000000}
r219 r232 {'duration': 1, 'edge_weight': 1.414000}
r220 r147 {'duration': 1, 'edge_weight': 1.514000}
r220 r148 {'duration': 1, 'edge_weight': 1.100000}
r220 r149 {'duration': 1, 'edge_weight': 1.514000}
r220 r159 {'duration': 1, 'edge_weight': 1.650000}
r220 r160 {'duration': 1, 'edge_weight': 1.514000}
r220 r161 {'duration': 1, 'edge_weight': 1.650000}
r220 r219 {'duration': 1, 'edge_weight': 1.000000}
r220 r220 {'duration': 1, 'edge_weight': 0.500000}
r220 r221 {'duration': 1, 'edge_weight': 1.000000}
r220 r231 {'duration': 1, 'edge_weight': 1.414000}
r220 r232 {'duration': 1, 'edge_weight': 1.000000}
r220 r233 {'duration': 1, 'edge_weight': 1.414000}
r221 r148 {'duration': 1, 'edge_weight': 1.514000}
r221 r149 {'duration': 1, 'edge_weight': 1.100000}
r221 r150 {'duration': 1, 'edge_weight': 1.514000}
r221 r160 {'duration': 1, 'edge_weight': 1.650000}
r221 r161 {'duration': 1, 'edge_weight': 1.514000}
r221 r162 {'duration': 1, 'edge_weight': 1.650000}
r221 r220 {'duration': 1, 'edge_weight': 1.000000}
r221 r221 {'duration': 1, 'edge_weight': 0.500000}
r221 r222 {'duration': 1, 'edge_weight': 1.000000}
r221 r232 {'duration': 1, 'edge_weight': 1.414000}
r221 r233 {'duration': 1, 'edge_weight': 1.000000}
r221 r234 {'duration': 1, 'edge_weight': 1.414000}
r222 r149 {'duration': 1, 'edge_weight': 1.514000}
r222 r150 {'duration': 1, 'edge_weight': 1.100000}
r222 r161 {'duration': 1, 'edge_weight': 1.650000}
r222 r162 {'duration': 1, 'edge_weight': 1.514000}
r222 r221 {'duration': 1, 'edge_weight': 1.000000}
r222 r222 {'duration': 1, 'edge_weight': 0.500000}
r222 r223 {'duration': 1, 'edge_weight': 1.000000}
r222 r233 {'duration': 1, 'edge_weight': 1.414000}
r222 r234 {'duration': 1, 'edge_weight': 1.000000}
r222 r235 {'duration': 1, 'edge_weight': 1.414000}
r223 r150 {'duration': 1, 'edge_weight': 1.514000}
r223 r152 {'duration': 1, 'edge_weight': 1.514000}
r223 r162 {'duration': 1, 'edge_weight': 1.650000}
r223 r164 {'duration': 1, 'edge_weight': 1.650000}
r223 r222 {'duration': 1, 'edge_weight': 1.000000}
r223 r223 {'duration': 1, 'edge_weight': 0.500000}
r223 r224 {'duration': 1, 'edge_weight': 1.000000}
r223 r234 {'duration': 1, 'edge_weight': 1.414000}
r223 r235 {'duration': 1, 'edge_weight': 1.000000}
r223 r236 {'duration': 1, 'edge_weight': 1.414000}
r224 r152 {'duration': 1, 'edge_weight': 1.100000}
r224 r153 {'duration': 1, 'edge_weight': 1.514000}
r224 r164 {'duration': 1, 'edge_weight': 1.514000}
r224 r165 {'duration': 1, 'edge_weight': 1.650000}
r224 r223 {'duration': 1, 'edge_weight': 1.000000}
r224 r224 {'duration': 1, 'edge_weight': 0.500000}
r224 r225 {'duration': 1, 'edge_weight': 1.000000}
r224 r235 {'duration': 1, 'edge_weight': 1.414000}
r224 r236 {'duration': 1, 'edge_weight': 1.000000}
r224 r237 {'duration': 1, 'edge_weight': 1.414000}
r225 r152 {'duration': 1, 'edge_weight': 1.514000}
r225 r153 {'duration': 1, 'edge_weight': 1.100000}
r225 r154 {'duration': 1, 'edge_weight': 1.514000}
r225 r164 {'duration': 1, 'edge_weight': 1.650000}
r225 r165 {'duration': 1, 'edge_weight': 1.514000}
r225 r166 {'duration': 1, 'edge_weight': 1.650000}
r225 r224 {'duration': 1, 'edge_weight': 1.000000}
r225 r225 {'duration': 1, 'edge_weight': 0.500000}
r225 r226 {'duration': 1, 'edge_weight': 1.000000}
r225 r236 {'duration': 1, 'edge_weight': 1.414000}
r225 r237 {'duration': 1, 'edge_weight': 1.000000}
r225 r238 {'duration': 1, 'edge_weight': 1.414000}
r226 r153 {'duration': 1, 'edge_weight': 1.514000}
r226 r154 {'duration': 1, 'edge_weight': 1.100000}
r226 r155 {'duration': 1, 'edge_weight': 1.514000}
r226 r165 {'duration': 1, 'edge_weight': 1.650000}
r226 r166 {'duration': 1, 'edge_weight': 1.514000}
r226 r167 {'duration': 1, 'edge_weight': 1.650000}
r226 r225 {'duration': 1, 'edge_weight': 1.000000}
r226 r226 {'duration': 1, 'edge_weight': 0.500000}
r226 r227 {'duration': 1, 'edge_weight': 1.000000}
r226 r237 {'duration': 1, 'edge_weight': 1.414000}
r226 r238 {'duration': 1, 'edge_weight': 1.000000}
r226 r239 {'duration': 1, 'edge_weight': 1.414000}
r227 r154 {'duration': 1, 'edge_weight': 1.514000}
r227 r155 {'duration': 1, 'edge_weight': 1.100000}
r227 r166 {'duration': 1, 'edge_weight': 1.650000}
r227 r167 {'duration': 1, 'edge_weight': 1.514000}
r227 r226 {'duration': 1, 'edge_weight': 1.000000}
r227 r227 {'duration': 1, 'edge_weight': 0.500000}
r227 r238 {'duration': 1, 'edge_weight': 1.414000}
r227 r239 {'duration': 1, 'edge_weight': 1.000000}
r228 r144 {'duration': 1, 'edge_weight': 1.514000}
r228 r145 {'duration': 1, 'edge_weight': 1.650000}
r228 r156 {'duration': 1, 'edge_weight': 1.100000}
r228 r157 {'duration': 1, 'edge_weight': 1.514000}
r228 r168 {'duration': 1, 'edge_weight': 1.514000}
r228 r216 {'duration': 1, 'edge_weight': 1.000000}
r228 r217 {'duration': 1, 'edge_weight': 1.414000}
r228 r228 {'duration': 1, 'edge_weight': 0.500000}
r228 r229 {'duration': 1, 'edge_weight': 1.000000}
r228 r240 {'duration': 1, 'edge_weight': 1.000000}
r228 r241 {'duration': 1, 'edge_weight': 1.414000}
r229 r144 {'duration': 1, 'edge_weight': 1.650000}
r229 r145 {'duration': 1, 'edge_weight': 1.514000}
r229 r146 {'duration': 1, 'edge_weight': 1.650000}
r229 r156 {'duration': 1, 'edge_weight': 1.514000}
r229 r157 {'duration': 1, 'edge_weight': 1.100000}
r229 r158 {'duration': 1, 'edge_weight': 1.514000}
r229 r168 {'duration': 1, 'edge_weight': 1.650000}
r229 r216 {'duration': 1, 'edge_weight': 1.414000}
r229 r217 {'duration': 1, 'edge_weight': 1.000000}
r229 r218 {'duration': 1, 'edge_weight': 1.414000}
r229 r228 {'duration': 1, 'edge_weight': 1.000000}
r229 r229 {'duration': 1, 'edge_weight': 0.500000}
r229 r230 {'duration': 1, 'edge_weight': 1.000000}
r229 r240 {'duration': 1, 'edge_weight': 1.414000}
r229 r241 {'duration': 1, 'edge_weight': 1.000000}
r229 r242 {'duration': 1, 'edge_weight': 1.414000}
r230 r145 {'duration': 1, 'edge_weight': 1.650000}
r230 r146 {'duration': 1, 'edge_weight': 1.514000}
r230 r147 {'duration': 1, 'edge_weight': 1.650000}
r230 r157 {'duration': 1, 'edge_weight': 1.514000}
r230 r158 {'duration': 1, 'edge_weight': 1.100000}
r230 r159 {'duration': 1, 'edge_weight': 1.514000}
r230 r171 {'duration': 1, 'edge_weight': 1.650000}
r230 r217 {'duration': 1, 'edge_weight': 1.414000}
r230 r218 {'duration': 1, 'edge_weight': 1.000000}
r230 r219 {'duration': 1, 'edge_weight': 1.414000}
r230 r229 {'duration': 1, 'edge_weight': 1.000000}
r230 r230 {'duration': 1, 'edge_weight': 0.500000}
r230 r231 {'duration': 1, 'edge_weight': 1.000000}
r230 r241 {'duration': 1, 'edge_weight': 1.414000}
r230 r242 {'duration': 1, 'edge_weight': 1.000000}
r230 r243 {'duration': 1, 'edge_weight': 1.414000}
r231 r146 {'duration': 1, 'edge_weight': 1.650000}
r231 r147 {'duration': 1, 'edge_weight': 1.514000}
r231 r148 {'duration': 1, 'edge_weight': 1.650000}
r231 r158 {'duration': 1, 'edge_weight': 1.514000}
r231 r159 {'duration': 1, 'edge_weight': 1.100000}
r231 r160 {'duration': 1, 'edge_weight': 1.514000}
r231 r171 {'duration': 1, 'edge_weight': 1.514000}
r231 r172 {'duration': 1, 'edge_weight': 1.650000}
r231 r218 {'duration': 1, 'edge_weight': 1.414000}
r231 r219 {'duration': 1, 'edge_weight': 1.000000}
r231 r220 {'duration': 1, 'edge_weight': 1.414000}
r231 r230 {'duration': 1, 'edge_weight': 1.000000}
r231 r231 {'duration': 1, 'edge_weight': 0.500000}
r231 r232 {'duration': 1, 'edge_weight': 1.000000}
r231 r242 {'duration': 1, 'edge_weight': 1.414000}
r231 r243 {'duration': 1, 'edge_weight': 1.000000}
r231 r244 {'duration': 1, 'edge_weight': 1.414000}
r232 r147 {'duration': 1, 'edge_weight': 1.650000}
r232 r148 {'duration': 1, 'edge_weight': 1.514000}
r232 r149 {'duration': 1, 'edge_weight': 1.650000}
r232 r159 {'duration': 1, 'edge_weight': 1.514000}
r232 r160 {'duration': 1, 'edge_weight': 1.100000}
r232 r161 {'duration': 1, 'edge_weight': 1.514000}
r232 r171 {'duration': 1, 'edge_weight': 1.650000}
r232 r172 {'duration': 1, 'edge_weight': 1.514000}
r232 r219 {'duration': 1, 'edge_weight': 1.414000}
r232 r220 {'duration': 1, 'edge_weight': 1.000000}
r232 r221 {'duration': 1, 'edge_weight': 1.414000}
r232 r231 {'duration': 1, 'edge_weight': 1.000000}
r232 r232 {'duration': 1, 'edge_weight': 0.500000}
r232 r233 {'duration': 1, 'edge_weight': 1.000000}
r232 r243 {'duration': 1, 'edge_weight': 1.414000}
r232 r244 {'duration': 1, 'edge_weight': 1.000000}
r233 r148 {'duration': 1, 'edge_weight': 1.650000}
r233 r149 {'duration': 1, 'edge_weight': 1.514000}
r233 r150 {'duration': 1, 'edge_weight': 1.650000}
r233 r160 {'duration': 1, 'edge_weight': 1.514000}
r233 r161 {'duration': 1, 'edge_weight': 1.100000}
r233 r162 {'duration': 1, 'edge_weight': 1.514000}
r233 r172 {'duration': 1, 'edge_weight': 1.650000}
r233 r174 {'duration': 1, 'edge_weight': 1.650000}
r233 r220 {'duration': 1, 'edge_weight': 1.414000}
r233 r221 {'duration': 1, 'edge_weight': 1.000000}
r233 r222 {'duration': 1, 'edge_weight': 1.414000}
r233 r232 {'duration': 1, 'edge_weight': 1.000000}
r233 r233 {'duration': 1, 'edge_weight': 0.500000}
r233 r234 {'duration': 1, 'edge_weight': 1.000000}
r233 r244 {'duration': 1, 'edge_weight': 1.414000}
r233 r246 {'duration': 1, 'edge_weight': 1.414000}
r234 r149 {'duration': 1, 'edge_weight': 1.650000}
r234 r150 {'duration': 1, 'edge_weight': 1.514000}
r234 r161 {'duration': 1, 'edge_weight': 1.514000}
r234 r162 {'duration': 1, 'edge_weight': 1.100000}
r234 r174 {'duration': 1, 'edge_weight': 1.514000}
r234 r175 {'duration': 1, 'edge_weight': 1.650000}
r234 r221 {'duration': 1, 'edge_weight': 1.414000}
r234 r222 {'duration': 1, 'edge_weight': 1.000000}
r234 r223 {'duration': 1, 'edge_weight': 1.414000}
r234 r233 {'duration': 1, 'edge_weight': 1.000000}
r234 r234 {'duration': 1, 'edge_weight': 0.500000}
r234 r235 {'duration': 1, 'edge_weight': 1.000000}
r234 r246 {'duration': 1, 'edge_weight': 1.000000}
r234 r247 {'duration': 1, 'edge_weight': 1.414000}
r235 r150 {'duration': 1, 'edge_weight': 1.650000}
r235 r152 {'duration': 1, 'edge_weight': 1.650000}
r235 r162 {'duration': 1, 'edge_weight': 1.514000}
r235 r164 {'duration': 1, 'edge_weight': 1.514000}
r235 r174 {'duration': 1, 'edge_weight': 1.650000}
r235 r175 {'duration': 1, 'edge_weight': 1.514000}
r235 r176 {'duration': 1, 'edge_weight': 1.650000}
r235 r222 {'duration': 1, 'edge_weight': 1.414000}
r235 r223 {'duration': 1, 'edge_weight': 1.000000}
r235 r224 {'duration': 1, 'edge_weight': 1.414000}
r235 r234 {'duration': 1, 'edge_weight': 1.000000}
r235 r235 {'duration': 1, 'edge_weight': 0.500000}
r235 r236 {'duration': 1, 'edge_weight': 1.000000}
r235 r246 {'duration': 1, 'edge_weight': 1.414000}
r235 r247 {'duration': 1, 'edge_weight': 1.000000}
r235 r248 {'duration': 1, 'edge_weight': 1.414000}
r236 r152 {'duration': 1, 'edge_weight': 1.514000}
r236 r153 {'duration': 1, 'edge_weight': 1.650000}
r236 r164 {'duration': 1, 'edge_weight': 1.100000}
r236 r165 {'duration': 1, 'edge_weight': 1.514000}
r236 r175 {'duration': 1, 'edge_weight': 1.650000}
r236 r176 {'duration': 1, 'edge_weight': 1.514000}
r236 r177 {'duration': 1, 'edge_weight': 1.650000}
r236 r223 {'duration': 1, 'edge_weight': 1.414000}
r236 r224 {'duration': 1, 'edge_weight': 1.000000}
r236 r225 {'duration': 1, 'edge_weight': 1.414000}
r236 r235 {'duration': 1, 'edge_weight': 1.000000}
r236 r236 {'duration': 1, 'edge_weight': 0.500000}
r236 r237 {'duration': 1, 'edge_weight': 1.000000}
r236 r247 {'duration': 1, 'edge_weight': 1.414000}
r236 r248 {'duration': 1, 'edge_weight': 1.000000}
r236 r249 {'duration': 1, 'edge_weight': 1.414000}
r237 r152 {'duration': 1, 'edge_weight': 1.650000}
r237 r153 {'duration': 1, 'edge_weight': 1.514000}
r237 r154 {'duration': 1, 'edge_weight': 1.650000}
r237 r164 {'duration': 1, 'edge_weight': 1.514000}
r237 r165 {'duration': 1, 'edge_weight': 1.100000}
r237 r166 {'duration': 1, 'edge_weight': 1.514000}
r237 r176 {'duration': 1, 'edge_weight': 1.650000}
r237 r177 {'duration': 1, 'edge_weight': 1.514000}
r237 r178 {'duration': 1, 'edge_weight': 1.650000}
r237 r224 {'duration': 1, 'edge_weight': 1.414000}
r237 r225 {'duration': 1, 'edge_weight': 1.000000}
r237 r226 {'duration': 1, 'edge_weight': 1.414000}
r237 r236 {'duration': 1, 'edge_weight': 1.000000}
r237 r237 {'duration': 1, 'edge_weight': 0.500000}
r237 r238 {'duration': 1, 'edge_weight': 1.000000}
r237 r248 {'duration': 1, 'edge_weight': 1.414000}
r237 r249 {'duration': 1, 'edge_weight': 1.000000}
r237 r250 {'duration': 1, 'edge_weight': 1.414000}
r238 r153 {'duration': 1, 'edge_weight': 1.650000}
r238 r154 {'duration': 1, 'edge_weight': 1.514000}
r238 r155 {'duration': 1, 'edge_weight': 1.650000}
r238 r165 {'duration': 1, 'edge_weight': 1.514000}
r238 r166 {'duration': 1, 'edge_weight': 1.100000}
r238 r167 {'duration': 1, 'edge_weight': 1.514000}
r238 r177 {'duration': 1, 'edge_weight': 1.650000}
r238 r178 {'duration': 1, 'edge_weight': 1.514000}
r238 r225 {'duration': 1, 'edge_weight': 1.414000}
r238 r226 {'duration': 1, 'edge_weight': 1.000000}
r238 r227 {'duration': 1, 'edge_weight': 1.414000}
r238 r237 {'duration': 1, 'edge_weight': 1.000000}
r238 r238 {'duration': 1, 'edge_weight': 0.500000}
r238 r239 {'duration': 1, 'edge_weight': 1.000000}
r238 r249 {'duration': 1, 'edge_weight': 1.414000}
r238 r250 {'duration': 1, 'edge_weight': 1.000000}
r238 r251 {'duration': 1, 'edge_weight': 1.414000}
r239 r154 {'duration': 1, 'edge_weight': 1.650000}
r239 r155 {'duration': 1, 'edge_weight': 1.514000}
r239 r166 {'duration': 1, 'edge_weight': 1.514000}
r239 r167 {'duration': 1, 'edge_weight': 1.100000}
r239 r178 {'duration': 1, 'edge_weight': 1.650000}
r239 r226 {'duration': 1, 'edge_weight': 1.414000}
r239 r227 {'duration': 1, 'edge_weight': 1.000000}
r239 r238 {'duration': 1, 'edge_weight': 1.000000}
r239 r239 {'duration': 1, 'edge_weight': 0.500000}
r239 r250 {'duration': 1, 'edge_weight': 1.414000}
r239 r251 {'duration': 1, 'edge_weight': 1.000000}
r240 r156 {'duration': 1, 'edge_weight': 1.514000}
r240 r157 {'duration': 1, 'edge_weight': 1.650000}
r240 r168 {'duration': 1, 'edge_weight': 1.100000}
r240 r180 {'duration': 1, 'edge_weight': 1.514000}
r240 r181 {'duration': 1, 'edge_weight': 1.650000}
r240 r228 {'duration': 1, 'edge_weight': 1.000000}
r240 r229 {'duration': 1, 'edge_weight': 1.414000}
r240 r240 {'duration': 1, 'edge_weight': 0.500000}
r240 r241 {'duration': 1, 'edge_weight': 1.000000}
r240 r252 {'duration': 1, 'edge_weight': 1.000000}
r240 r253 {'duration': 1, 'edge_weight': 1.414000}
r241 r156 {'duration': 1, 'edge_weight': 1.650000}
r241 r157 {'duration': 1, 'edge_weight': 1.514000}
r241 r158 {'duration': 1, 'edge_weight': 1.650000}
r241 r168 {'duration': 1, 'edge_weight': 1.514000}
r241 r180 {'duration': 1, 'edge_weight': 1.650000}
r241 r181 {'duration': 1, 'edge_weight': 1.514000}
r241 r228 {'duration': 1, 'edge_weight': 1.414000}
r241 r229 {'duration': 1, 'edge_weight': 1.000000}
r241 r230 {'duration': 1, 'edge_weight': 1.414000}
r241 r240 {'duration': 1, 'edge_weight': 1.000000}
r241 r241 {'duration': 1, 'edge_weight': 0.500000}
r241 r242 {'duration': 1, 'edge_weight': 1.000000}
r241 r252 {'duration': 1, 'edge_weight': 1.414000}
r241 r253 {'duration': 1, 'edge_weight': 1.000000}
r241 r254 {'duration': 1, 'edge_weight': 1.414000}
r242 r157 {'duration': 1, 'edge_weight': 1.650000}
r242 r158 {'duration': 1, 'edge_weight': 1.514000}
r242 r159 {'duration': 1, 'edge_weight': 1.650000}
r242 r171 {'duration': 1, 'edge_weight': 1.514000}
r242 r181 {'duration': 1, 'edge_weight': 1.650000}
r242 r183 {'duration': 1, 'edge_weight': 1.650000}
r242 r229 {'duration': 1, 'edge_weight': 1.414000}
r242 r230 {'duration': 1, 'edge_weight': 1.000000}
r242 r231 {'duration': 1, 'edge_weight': 1.414000}
r242 r241 {'duration': 1, 'edge_weight': 1.000000}
r242 r242 {'duration': 1, 'edge_weight': 0.500000}
r242 r243 {'duration': 1, 'edge_weight': 1.000000}
r242 r253 {'duration': 1, 'edge_weight': 1.414000}
r242 r254 {'duration': 1, 'edge_weight': 1.000000}
r242 r255 {'duration': 1, 'edge_weight': 1.414000}
r243 r158 {'duration': 1, 'edge_weight': 1.650000}
r243 r159 {'duration': 1, 'edge_weight': 1.514000}
r243 r160 {'duration': 1, 'edge_weight': 1.650000}
r243 r171 {'duration': 1, 'edge_weight': 1.100000}
r243 r172 {'duration': 1, 'edge_weight': 1.514000}
r243 r183 {'duration': 1, 'edge_weight': 1.514000}
r243 r184 {'duration': 1, 'edge_weight': 1.650000}
r243 r230 {'duration': 1, 'edge_weight': 1.414000}
r243 r231 {'duration': 1, 'edge_weight': 1.000000}
r243 r232 {'duration': 1, 'edge_weight': 1.414000}
r243 r242 {'duration': 1, 'edge_weight': 1.000000}
r243 r243 {'duration': 1, 'edge_weight': 0.500000}
r243 r244 {'duration': 1, 'edge_weight': 1.000000}
r243 r254 {'duration': 1, 'edge_weight': 1.414000}
r243 r255 {'duration': 1, 'edge_weight': 1.000000}
r243 r256 {'duration': 1, 'edge_weight': 1.414000}
r244 r159 {'duration': 1, 'edge_weight': 1.650000}
r244 r160 {'duration': 1, 'edge_weight': 1.514000}
r244 r161 {'duration': 1, 'edge_weight': 1.650000}
r244 r171 {'duration': 1, 'edge_weight': 1.514000}
r244 r172 {'duration': 1, 'edge_weight': 1.100000}
r244 r183 {'duration': 1, 'edge_weight': 1.650000}
r244 r184 {'duration': 1, 'edge_weight': 1.514000}
r244 r185 {'duration': 1, 'edge_weight': 1.650000}
r244 r231 {'duration': 1, 'edge_weight': 1.414000}
r244 r232 {'duration': 1, 'edge_weight': 1.000000}
r244 r233 {'duration': 1, 'edge_weight': 1.414000}
r244 r243 {'duration': 1, 'edge_weight': 1.000000}
r244 r244 {'duration': 1, 'edge_weight': 0.500000}
r244 r255 {'duration': 1, 'edge_weight': 1.414000}
r244 r256 {'duration': 1, 'edge_weight': 1.000000}
r244 r257 {'duration': 1, 'edge_weight': 1.414000}
r246 r161 {'duration': 1, 'edge_weight': 1.650000}
r246 r162 {'duration': 1, 'edge_weight': 1.514000}
r246 r174 {'duration': 1, 'edge_weight': 1.100000}
r246 r175 {'duration': 1, 'edge_weight': 1.514000}
r246 r185 {'duration': 1, 'edge_weight': 1.650000}
r246 r186 {'duration': 1, 'edge_weight': 1.514000}
r246 r187 {'duration': 1, 'edge_weight': 1.650000}
r246 r233 {'duration': 1, 'edge_weight': 1.414000}
r246 r234 {'duration': 1, 'edge_weight': 1.000000}
r246 r235 {'duration': 1, 'edge_weight': 1.414000}
r246 r246 {'duration': 1, 'edge_weight': 0.500000}
r246 r247 {'duration': 1, 'edge_weight': 1.000000}
r246 r257 {'duration': 1, 'edge_weight': 1.414000}
r246 r258 {'duration': 1, 'edge_weight': 1.000000}
r246 r259 {'duration': 1, 'edge_weight': 1.414000}
r247 r162 {'duration': 1, 'edge_weight': 1.650000}
r247 r164 {'duration': 1, 'edge_weight': 1.650000}
r247 r174 {'duration': 1, 'edge_weight': 1.514000}
r247 r175 {'duration': 1, 'edge_weight': 1.100000}
r247 r176 {'duration': 1, 'edge_weight': 1.514000}
r247 r186 {'duration': 1, 'edge_weight': 1.650000}
r247 r187 {'duration': 1, 'edge_weight': 1.514000}
r247 r188 {'duration': 1, 'edge_weight': 1.650000}
r247 r234 {'duration': 1, 'edge_weight': 1.414000}
r247 r235 {'duration': 1, 'edge_weight': 1.000000}
r247 r236 {'duration': 1, 'edge_weight': 1.414000}
r247 r246 {'duration': 1, 'edge_weight': 1.000000}
r247 r247 {'duration': 1, 'edge_weight': 0.500000}
r247 r248 {'duration': 1, 'edge_weight': 1.000000}
r247 r258 {'duration': 1, 'edge_weight': 1.414000}
r247 r259 {'duration': 1, 'edge_weight': 1.000000}
r247 r260 {'duration': 1, 'edge_weight': 1.414000}
r248 r164 {'duration': 1, 'edge_weight': 1.514000}
r248 r165 {'duration': 1, 'edge_weight': 1.650000}
r248 r175 {'duration': 1, 'edge_weight': 1.514000}
r248 r176 {'duration': 1, 'edge_weight': 1.100000}
r248 r177 {'duration': 1, 'edge_weight': 1.514000}
r248 r187 {'duration': 1, 'edge_weight': 1.650000}
r248 r188 {'duration': 1, 'edge_weight': 1.514000}
r248 r189 {'duration': 1, 'edge_weight': 1.650000}
r248 r235 {'duration': 1, 'edge_weight': 1.414000}
r248 r236 {'duration': 1, 'edge_weight': 1.000000}
r248 r237 {'duration': 1, 'edge_weight': 1.414000}
r248 r247 {'duration': 1, 'edge_weight': 1.000000}
r248 r248 {'duration': 1, 'edge_weight': 0.500000}
r248 r249 {'duration': 1, 'edge_weight': 1.000000}
r248 r259 {'duration': 1, 'edge_weight': 1.414000}
r248 r260 {'duration': 1, 'edge_weight': 1.000000}
r248 r261 {'duration': 1, 'edge_weight': 1.414000}
r249 r164 {'duration': 1, 'edge_weight': 1.650000}
r249 r165 {'duration': 1, 'edge_weight': 1.514000}
r249 r166 {'duration': 1, 'edge_weight': 1.650000}
r249 r176 {'duration': 1, 'edge_weight': 1.514000}
r249 r177 {'duration': 1, 'edge_weight': 1.100000}
r249 r178 {'duration': 1, 'edge_weight': 1.514000}
r249 r188 {'duration': 1, 'edge_weight': 1.650000}
r249 r189 {'duration': 1, 'edge_weight': 1.514000}
r249 r190 {'duration': 1, 'edge_weight': 1.650000}
r249 r236 {'duration': 1, 'edge_weight': 1.414000}
r249 r237 {'duration': 1, 'edge_weight': 1.000000}
r249 r238 {'duration': 1, 'edge_weight': 1.414000}
r249 r248 {'duration': 1, 'edge_weight': 1.000000}
r249 r249 {'duration': 1, 'edge_weight': 0.500000}
r249 r250 {'duration': 1, 'edge_weight': 1.000000}
r249 r260 {'duration': 1, 'edge_weight': 1.414000}
r249 r261 {'duration': 1, 'edge_weight': 1.000000}
r249 r262 {'duration': 1, 'edge_weight': 1.414000}
r250 r165 {'duration': 1, 'edge_weight': 1.650000}
r250 r166 {'duration': 1, 'edge_weight': 1.514000}
r250 r167 {'duration': 1, 'edge_weight': 1.650000}
r250 r177 {'duration': 1, 'edge_weight': 1.514000}
r250 r178 {'duration': 1, 'edge_weight': 1.100000}
r250 r189 {'duration': 1, 'edge_weight': 1.650000}
r250 r190 {'duration': 1, 'edge_weight': 1.514000}
r250 r237 {'duration': 1, 'edge_weight': 1.414000}
r250 r238 {'duration': 1, 'edge_weight': 1.000000}
r250 r239 {'duration': 1, 'edge_weight': 1.414000}
r250 r249 {'duration': 1, 'edge_weight': 1.000000}
r250 r250 {'duration': 1, 'edge_weight': 0.500000}
r250 r251 {'duration': 1, 'edge_weight': 1.000000}
r250 r261 {'duration': 1, 'edge_weight': 1.414000}
r250 r262 {'duration': 1, 'edge_weight': 1.000000}
r250 r263 {'duration': 1, 'edge_weight': 1.414000}
r251 r166 {'duration': 1, 'edge_weight': 1.650000}
r251 r167 {'duration': 1, 'edge_weight': 1.514000}
r251 r178 {'duration': 1, 'edge_weight': 1.514000}
r251 r190 {'duration': 1, 'edge_weight': 1.650000}
r251 r238 {'duration': 1, 'edge_weight': 1.414000}
r251 r239 {'duration': 1, 'edge_weight': 1.000000}
r251 r250 {'duration': 1, 'edge_weight': 1.000000}
r251 r251 {'duration': 1, 'edge_weight': 0.500000}
r251 r262 {'duration': 1, 'edge_weight': 1.414000}
r251 r263 {'duration': 1, 'edge_weight': 1.000000}
r252 r168 {'duration': 1, 'edge_weight': 1.514000}
r252 r180 {'duration': 1, 'edge_weight': 1.100000}
r252 r181 {'duration': 1, 'edge_weight': 1.514000}
r252 r192 {'duration': 1, 'edge_weight': 1.514000}
r252 r193 {'duration': 1, 'edge_weight': 1.650000}
r252 r240 {'duration': 1, 'edge_weight': 1.000000}
r252 r241 {'duration': 1, 'edge_weight': 1.414000}
